text,category
Blue Dart courier charges for warehouse delivery,Logistics
DHL shipment fee for customer order dispatch,Logistics
FedEx freight invoice for bulk order,Logistics
Delhivery last mile delivery charges,Logistics
Ecom Express reverse logistics fee,Logistics
Road transport charges for raw material,Logistics
Cargo handling and port clearance fees,Logistics
Air freight cost for urgent shipment,Logistics
Customs duty and clearance charges,Logistics
Packaging and dispatch fee for orders,Logistics
Shiprocket delivery charges for ecommerce orders,Logistics
DTDC express parcel service invoice,Logistics
XpressBees shipment fees for returns,Logistics
Shadowfax last mile delivery fee,Logistics
Ekart logistics invoice for orders,Logistics
Trucking charges for inter-city delivery,Logistics
Container shipping charges sea freight,Logistics
Warehouse storage and handling charges,Logistics
Loading unloading labor charges at dock,Logistics
Freight forwarding charges international,Logistics
Courier charges for document delivery,Logistics
Express delivery surcharge for urgent order,Logistics
Last mile delivery partner payout,Logistics
Return shipment processing fee,Logistics
Third party logistics 3PL monthly invoice,Logistics
Transit insurance for goods shipment,Logistics
Packing material charges for dispatch,Logistics
Delivery vehicle fuel reimbursement,Logistics
Porter delivery charges for local goods,Logistics
Gati courier invoice for shipment,Logistics
DTDC courier charges express,Logistics
First Flight courier service charges,Logistics
SafeExpress cargo delivery fee,Logistics
Rivigo fleet logistics invoice,Logistics
Blackbuck trucking platform charges,Logistics
Eicher truck freight charges,Logistics
India Post speed post charges,Logistics
Navata road transport charges,Logistics
Professional courier charges office,Logistics
Road permit and toll charges for truck,Logistics
Staples printer paper reams x10,Office Supplies
Pilot ballpoint pens pack of 20,Office Supplies
HP toner cartridge for laserjet printer,Office Supplies
Whiteboard markers and erasers,Office Supplies
A4 file folders and binding clips,Office Supplies
Sticky notes and desk organizer set,Office Supplies
Notebook and spiral diary set,Office Supplies
Scotch tape and glue sticks,Office Supplies
Lamination pouches and scissors,Office Supplies
Pen drives and USB cables for office,Office Supplies
Whiteboard and marker stand purchase,Office Supplies
Ink cartridge for inkjet printer,Office Supplies
Stapler and hole punch set,Office Supplies
Ring binders and document sleeves,Office Supplies
Desk lamp and extension cord,Office Supplies
Printer paper box for office,Office Supplies
Correction fluid and pen refills,Office Supplies
Envelopes and courier bags pack,Office Supplies
Business card holder and desk tray,Office Supplies
Highlighter pens set of 10,Office Supplies
Calculator for accounts department,Office Supplies
Shredder bags and maintenance kit,Office Supplies
Paper clips and binder clips box,Office Supplies
Scissors and letter opener set,Office Supplies
Stamp pad and rubber stamp,Office Supplies
Visiting card printing charges,Office Supplies
Letterhead printing invoice,Office Supplies
ID card and lanyard printing,Office Supplies
Reynolds gel pen set for office,Office Supplies
Classmate notebook pack of 6,Office Supplies
Camlin permanent markers set,Office Supplies
Faber castell pencils box,Office Supplies
Lexi ballpen carton purchase,Office Supplies
Cello tape dispenser and rolls,Office Supplies
Nataraj pencil box for office,Office Supplies
Luxor whiteboard marker set,Office Supplies
Laptop bags and cable management kit,Office Supplies
Tissue paper boxes for office,Office Supplies
Dustbin and waste bags office,Office Supplies
Whiteboard duster replacement,Office Supplies
Punching machine for office,Office Supplies
AWS monthly cloud hosting bill,Cloud/Software
Google Workspace annual subscription,Cloud/Software
Zoom video conferencing license,Cloud/Software
GitHub Enterprise plan renewal,Cloud/Software
Slack team plan monthly invoice,Cloud/Software
Adobe Creative Cloud subscription,Cloud/Software
Jira Software license for dev team,Cloud/Software
Azure compute credits invoice,Cloud/Software
Salesforce CRM monthly billing,Cloud/Software
Figma professional plan subscription,Cloud/Software
Heroku dyno monthly charge,Cloud/Software
Notion team subscription renewal,Cloud/Software
Postman API platform license,Cloud/Software
Datadog monitoring plan invoice,Cloud/Software
Twilio SMS service credits,Cloud/Software
SendGrid email API subscription,Cloud/Software
DigitalOcean droplet billing,Cloud/Software
Microsoft 365 business plan,Cloud/Software
Dropbox business storage plan,Cloud/Software
HubSpot CRM subscription,Cloud/Software
Trello premium plan invoice,Cloud/Software
Canva pro annual subscription,Cloud/Software
Netlify hosting plan monthly,Cloud/Software
MongoDB Atlas cloud database,Cloud/Software
New Relic observability platform,Cloud/Software
PagerDuty incident management plan,Cloud/Software
Zendesk support software license,Cloud/Software
QuickBooks accounting software subscription,Cloud/Software
Shopify monthly plan invoice,Cloud/Software
Cloudflare pro plan monthly,Cloud/Software
Zoho CRM annual subscription,Cloud/Software
Freshdesk support software plan,Cloud/Software
Razorpay payment gateway charges,Cloud/Software
Tally ERP software license renewal,Cloud/Software
Annual antivirus software license,Cloud/Software
Conference call platform subscription,Cloud/Software
AWS EC2 instance monthly bill,Cloud/Software
Google Cloud Platform credits,Cloud/Software
Snowflake data warehouse billing,Cloud/Software
Tableau software license annual,Cloud/Software
Power BI premium subscription,Cloud/Software
Electricity bill for office premises,Utilities
Water supply charges for factory unit,Utilities
Monthly internet connection bill,Utilities
Broadband and landline charges,Utilities
Generator diesel fuel for backup power,Utilities
Municipal corporation water tax,Utilities
Gas pipeline charges for kitchen facility,Utilities
Air conditioning maintenance and electricity,Utilities
Office building electricity meter charges,Utilities
Sewage and waste management fee,Utilities
Reliance Jio monthly internet plan,Utilities
Tata Power electricity bill Q3,Utilities
